,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
592,121,77,1,['iniziative per gli anziani trasporto sociale e prelievi ematici a domicilio'],['iniziative per gli anziani trasporto sociale e prelievi ematici a domicilio']
594,121,110,1,['percorso nascite'],['percorso nascite']
510,103,73,1,['a'],['a']
644,196,67,1,['laboratorio musicale'],['laboratorio musicale']
595,121,131,1,['nuovo centro servizi sanitari'],['nuova biblioteca e nuovo centro servizi sanitari']
527,110,3,1,['sede distretto famiglia'],['distretto famiglia']
565,113,131,1,['sostegno alla scuola primaria'],['sostegno scuola primaria']
572,114,121,1,['collocazione di fasciatoi e creazione angolo bambini'],['collocazione di fasciatoi e creazione angolo bambini presso l ambulatorio pediatrico']
654,196,114,1,['servizi alle famiglie'],['servizi alle famiglie']
574,116,40,1,['postazioni internet collegamento wi fi'],['postazioni internet collegamento wi fi']
507,97,110,1,['progetto la tana dei pap in partnership'],['progetto la tana dei pap in partnership']
563,113,117,1,['pedibus'],['pedibus']
599,127,26,1,['conciliazione dei tempi famiglia lavoro'],['conciliazione famiglia lavoro']
506,97,108,1,['servizi alle famiglie parit di genere'],['servizi alle famiglie asilo privato']
561,113,110,1,['servizi per la conciliazione dei tempi famiglia lavoro colonia estiva'],['servizi per la conciliazione dei tempi famiglia lavoro spazio genitori bimbi']
632,196,52,1,['lo spigolo stondato'],['lo spigolo stondato']
559,113,79,1,['f supporto scolastico'],['supporto scolastico']
596,121,196,1,['servizi alle famiglie'],['servizi alle famiglie']
329,58,117,1,['attivit e iniziative che favoriscano l autonomia la responsabilit la creativit e lo sviluppo di abilit psicomotorie'],['attivit e iniziative che favoriscano l autonomia la responsabilit la creativit e lo sviluppo di abilit psicomotorie']
488,90,82,1,['persone anziane e persone diversamente abili'],['persone anziane e persone diversamente abili']
207,30,89,1,['adesione ai servizi sovracomunali eventi formativi e informativi per neo genitori'],['adesione ai servizi sovracomunali evento formativo e informativo sul gioco dazzardo']
201,30,51,1,['accoglienza delle nuove famiglie'],['accoglienza delle nuove famiglie']
200,30,46,1,['guida informativa per le famiglie'],['guida informativa per le famiglie']
196,30,22,1,['contributo nuovi nati'],['contributo matrimonio']
186,29,89,1,['sostegno alle persone in difficolta'],['sostegno alle persone in difficolta']
185,29,85,1,['c spazio polivalente di ascolto e creativita'],['spazio polivalente di ascolto e creativit']
178,29,62,1,['sensibilizzazione dei diciottenni'],['sensibilizzazione dei diciottenni']
175,29,56,1,['sostegno alle associazioni del territorio'],['sostegno alle iniziative del territorio']
172,29,51,1,['area communitiy care'],['area community care family hub']
169,29,27,1,['interventi economici alle associazioni sportive'],['interventi economici alle associazioni sportive']
167,29,23,1,['sostegno all associazionismo attento alla dimensione familiare'],['sostegno all associazionismo attento alla dimensione familiare']
162,28,114,1,['area cultura sport e qualit della vita card abbonamento perugia citt museo'],['area cultura sport e qualit della vita area allattamento e pit stop']
160,28,110,1,['interventi economici giochi d estate e giochi d estate jr'],['giochi d estate e giochi d estate jr']
157,28,82,1,['persone diversamente abili'],['persone diversamente abili']
152,28,58,1,['premi studenti meritevoli'],['premio studenti meritevoli']
145,28,24,1,['tariffa mensa scolastica e scuolabus'],['tariffe mensa scolastica e scuolabus']
142,28,9,1,['gioved family'],['gioved family']
133,26,82,1,['progetto arriva l estate per le famiglie azione strutturale di conciliazione per soggetti adolescenti con handicap'],['progetto arriva l estate per le famiglie azione strutturale di conciliazione per soggetti adolescenti con handicap']
204,30,64,1,['promozione alla lettura'],['promozione alla lettura']
212,30,134,1,['istituzione di parcheggio rosa nei pressi della piazza principale del paese vicino al punto vendita alimentari'],['istituzione di parcheggio rosa nei pressi della piazza principale del paese vicino al punto vendita alimentarii']
123,24,69,1,['agevolazioni per i servizi'],['servizi per i giovani']
216,37,127,1,['servizi alle famiglie legna'],['servizi alle famiglie orari']
260,54,51,1,['progetto we care la comunit che si prende cura delle famiglie'],['progetto we care la comunit si prende cura delle famiglie consulenza']
258,54,11,1,['prima le persone'],['prima le persone']
257,54,9,1,['evento formativo e informativo della violenza di genere'],['evento formativo e informativo sul tema della ludopatia e della violenza di genere']
255,52,196,1,['progetto guide turistiche junior'],['libretto guide turistiche junior']
254,52,113,1,['settimane tecnologiche estive'],['settimane tecnologiche estive']
250,52,55,1,['incontri di approfondimento per genitori di figli pre adolescenti e adolescenti'],['incontri di approfondimento per genitori di figli pre adolescenti e adolescenti']
248,51,196,1,['servizi alle famiglie family point'],['servizi alle famiglie progetto famiglie in gioco']
239,51,17,1,['indirizzo email dedicato per segnalazioni e bisogni'],['indirizzo email dedicato a segnalazioni da parte delle famiglie']
238,51,16,1,['consultazione famiglie'],['consultazione delle famiglie']
235,46,135,1,['passeggiate family'],['cartina passeggiate family']
234,46,127,1,['informazione e comunicazione portale web sul sito del comune'],['informazione e comunicazione orari comunali']
230,46,70,1,['sito web'],['sito web']
228,46,56,1,['rivista altavalle'],['ripuliamo altavalle']
226,46,52,1,['progetto comunicaweb comune eterritorio'],['progetto comunicaweb comune e territorio']
219,40,127,1,['servizi alle famiglie wifi free'],['servizi alle famiglie orari']
218,40,108,1,['intervento a sostegno della conciliazione dei tempi'],['interventi a sostegno della conciliazione dei tempi']
217,40,52,1,['accessibilit ad internet'],['accessibilit ad internet']
132,26,70,1,['sostegno economico all attivit didattica delle scuole'],['sostegno all attivit didattica delle scuole']
122,24,26,1,['agevolazioni per i servizi'],['agevolazione per i servizi di conciliazione']
264,54,65,1,['comunit educante'],['comunit educante']
64,11,51,1,['sportello info giovani'],['sportello info giovani']
53,9,65,1,['informazione e comunicazione serate family'],['informazione e comunicazione giornata family']
52,9,51,1,['family point'],['family point']
49,9,29,1,['partecipazioni per la promozione di eventi'],['partecipazione alle societ per la valorizzazione di eventi']
48,9,26,1,['massima collaborazione con la pro loco di massimeno'],['prosecuzione collaborazione con la pro loco di massimeno']
47,9,23,1,['il fattore famiglia comunale'],['il fattore famiglia comunale']
44,9,12,1,['consulte frazionali'],['consulte frazionali']
37,8,3,1,['incontri programmatici del distretto famiglia'],['incontri programmatici del distretto famiglia']
35,5,64,1,['community care carta giovani'],['area community care informagiovani']
28,5,9,1,['partnership mirate'],['partnership mirate']
27,5,3,1,['area conciliazione famiglia lavoro organizzazioni gara appalto di servizio'],['area conciliazione famiglia lavoro organizzazioni']
26,5,1,1,['orientamento fornitori comunali'],['orientamento fornitori comunali']
25,3,127,1,['flessibilit oraria'],['flessibilit oraria']
24,3,97,1,['distretto famiglia giudicarie esteriori'],['distretto famiglia giudicarie esteriori']
22,3,46,1,['promozione iniziative distretto'],['promozione digitale iniziative']
12,1,54,1,['rafforzare le competenze delle famiglie locali e l informazione su servizi ed opportunita esistenti'],['rafforzare le competenze delle famiglie locali e l informazione su servizi ed opportunita esistenti']
8,1,28,1,['b servizi museali e culturali family'],['servizi museali e culturali']
6,1,17,1,['documento di verifica'],['documento di verifica']
58,9,135,1,['serate family'],['sentieri family']
65,11,58,1,['iniziative per giovani adulti anziani il piano giovani'],['iniziative per giovani adulti anziani azione']
119,23,90,1,['area interventi economici politiche tariffarie biglietti minimetr'],['area interventi economici politiche tariffarie pasti a domicilio']
68,11,65,1,['iniziative per i giovani'],['iniziative per gli anziani']
118,23,82,1,['progetto arriva l estate per le famiglie azione strutturale di conciliazione per soggetti adolescenti con handicap'],['progetto arriva l estate per le famiglie azione strutturale di conciliazione per soggetti adolescenti con handicap']
117,23,30,1,['area interventi economici politiche tariffarie tari'],['area interventi economici politiche tariffarie baby card']
112,21,131,1,['area urbanistica e ambiente pums'],['area urbanistica e ambiente pums']
111,21,120,1,['applicazione aliquota agevolata'],['applicazione aliquota agevolata']
105,21,25,1,['contributo per l acquisto di farmaci da parte di famiglie indigenti'],['contributo per l acquisto di farmaci da parte di famiglie indigenti']
102,20,3,1,['family card'],['family audit']
94,17,97,1,['rilevazione sulla composizione di genere'],['rilevazione sulla composizione di genere']
90,17,8,1,['strumenti per la raccolta del livello di gradimento delle famiglie obbligatorio'],['strumenti per la raccolta del livello di gradimento delle famiglie']
89,17,3,1,['progetto destinazione famiglia questionari'],['progetto destinazione famiglia']
88,16,110,1,['servizi alla persona a n f n'],['servizi alla persona family hub']
87,16,90,1,['trasporto amico'],['trasporto amico']
86,16,68,1,['attivit rete delle riserve'],['attivit della terza et']
85,16,65,1,['informazione e comunicazione consulte frazionali'],['informazione e comunicazione giornata family']
83,16,55,1,['sensibilizzazione e informazione della popolazione'],['incontri di sensibilizzazione e promozione della salute']
79,16,29,1,['contributi ad associazione e gruppi'],['contributi ad associazioni e gruppi']
78,16,18,1,['raccordi con le famiglie'],['raccordi con le famiglie']
69,11,89,1,['adesione ai servizi sovracomunali piano giovani'],['adesione ai servizi sovracomunali dipende da noi']
262,54,62,1,['progetto fuori onda'],['progetto europa']
268,54,82,1,['incontri di sensibilizzazione'],['incontri di sensibilizzazione su patologie']
485,90,64,1,['f'],['f']
430,69,68,1,['l universit dell et libera'],['universit dell et libera']
428,69,56,1,['attivit laboratoriali di riciclo creativo'],['attivit laboratoriali di riciclo creativo']
427,69,51,1,['percorsi corsi formativi aperti a tutta la popolazione'],['percorsi incontri formativi aperti a tutta la popolazione sportello']
421,68,103,1,['m illumino di meno'],['m illumino di meno']
418,68,90,1,['servizi alla persona uted'],['servizi alla persona']
413,68,67,1,['progetto nati per leggere'],['nati per leggere']
409,68,62,1,['cerimonia anni'],['cerimonia anni']
408,68,58,1,['c'],['c']
403,68,29,1,['universit della terza et e del tempo disponibile'],['universit della terza et e del tempo disponibile']
399,68,9,1,['gioved family'],['gioved family']
398,68,3,1,['family audit'],['family audit']
395,66,117,1,['nuovi percorsi family'],['nuovi percorsi family e family bike']
391,66,62,1,['ambiente e qualit della vita viaggi dell emozione'],['ambiente e qualit della vita vigili del fuoco volontari']
384,65,92,1,['settimana civica'],['settimana civica']
377,65,57,1,['vivi due carare'],['vivi due carrare']
376,65,46,1,['il trentino dei bambini'],['il trentino dei bambini']
