,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
354,28344979,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,5,4
347,11630727,B,Misure economiche,5.0,Benefit e scontistica,5,1
343,11630807,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,6,2
345,11630727,C,Informazione e comunicazione,6.0,Comunicazione,6,1
331,11630739,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,6,1
346,11630758,C,Informazione e comunicazione,6.0,Comunicazione,6,2
325,11630758,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,6,1
336,11630804,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,6,1
328,11630723,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,6,1
324,11630788,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,6,2
337,11630739,D,Comunitа educante,7.0,Ascolto,6,1
327,11630767,D,Comunitа educante,7.0,Ascolto,6,2
339,11630731,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,6,3
340,11630729,B,Misure economiche,5.0,Benefit e scontistica,6,1
335,11630785,B,Misure economiche,5.0,Benefit e scontistica,6,1
323,11630751,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,6,2
341,44333557,B,Misure economiche,5.0,Benefit e scontistica,6,5
332,11630823,B,Misure economiche,5.0,Benefit e scontistica,6,1
326,11630777,D,Comunitа educante,8.0,Formazione,6,1
342,11630712,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,6,1
334,11630734,D,Comunitа educante,7.0,Ascolto,6,1
330,11630752,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,6,1
344,11630774,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,6,2
322,11630772,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,6,2
